Episode: 142 | Desired Rewards: -15.27 | Mean_100_Rewards: -105.63 | Loss: 1.37 | ewma_T: 97 | ewma_G: -21.15length of rollout buffer: 4055
Episode: 143 | Desired Rewards: -6.37 | Mean_100_Rewards: -105.22 | Loss: 1.37 | ewma_T: 103 | ewma_G: -18.43length of rollout buffer: 4019
Episode: 144 | Desired Rewards: -22.94 | Mean_100_Rewards: -105.39 | Loss: 1.37 | ewma_T: 89 | ewma_G: -17.56length of rollout buffer: 4103
Episode: 145 | Desired Rewards: -22.26 | Mean_100_Rewards: -104.76 | Loss: 1.37 | ewma_T: 94 | ewma_G: -17.44length of rollout buffer: 4076
Episode: 146 | Desired Rewards: -18.18 | Mean_100_Rewards: -104.56 | Loss: 1.36 | ewma_T: 94 | ewma_G: -21.92length of rollout buffer: 4029
Episode: 147 | Desired Rewards: -18.04 | Mean_100_Rewards: -104.70 | Loss: 1.37 | ewma_T: 98 | ewma_G: -21.35length of rollout buffer: 4044
Episode: 148 | Desired Rewards: -1.55 | Mean_100_Rewards: -104.55 | Loss: 1.36 | ewma_T: 99 | ewma_G: -17.39length of rollout buffer: 4084
Episode: 149 | Desired Rewards: -18.97 | Mean_100_Rewards: -104.81 | Loss: 1.37 | ewma_T: 97 | ewma_G: -18.71length of rollout buffer: 4020
Episode: 150 | Desired Rewards: -9.92 | Mean_100_Rewards: -105.45 | Loss: 1.37 | ewma_T: 104 | ewma_G: -18.04length of rollout buffer: 4089
Episode: 151 | Desired Rewards: -15.52 | Mean_100_Rewards: -105.85 | Loss: 1.36 | ewma_T: 90 | ewma_G: -19.96length of rollout buffer: 4078
Episode: 152 | Desired Rewards: -16.06 | Mean_100_Rewards: -105.58 | Loss: 1.36 | ewma_T: 94 | ewma_G: -20.34length of rollout buffer: 4048
Episode: 153 | Desired Rewards: -17.29 | Mean_100_Rewards: -104.77 | Loss: 1.37 | ewma_T: 98 | ewma_G: -18.08length of rollout buffer: 4075
Episode: 154 | Desired Rewards: -20.36 | Mean_100_Rewards: -104.26 | Loss: 1.37 | ewma_T: 94 | ewma_G: -16.09length of rollout buffer: 4063
Episode: 155 | Desired Rewards: -12.96 | Mean_100_Rewards: -103.83 | Loss: 1.37 | ewma_T: 102 | ewma_G: -21.76length of rollout buffer: 4085
Episode: 156 | Desired Rewards: -24.89 | Mean_100_Rewards: -103.91 | Loss: 1.37 | ewma_T: 100 | ewma_G: -20.01length of rollout buffer: 4102
Episode: 157 | Desired Rewards: -17.37 | Mean_100_Rewards: -103.81 | Loss: 1.36 | ewma_T: 92 | ewma_G: -20.39length of rollout buffer: 4065
Episode: 158 | Desired Rewards: -20.75 | Mean_100_Rewards: -103.18 | Loss: 1.37 | ewma_T: 101 | ewma_G: -20.56length of rollout buffer: 4076
